,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2009-01-01,EMPL_QUIT_EGREEM_NUM_TH,50.5,13.7,0.6,0.2,1.1,1.1,0.5,0.2,0.4,0.5,1.0,2.0,0.2,0.5,0.2,0.2,0.3,0.3,0.7,4.0,5.5,0.4,0.5,0.3,0.0,,0.8,0.6,0.3,0.1,0.2,0.2,2.0,4.1,0.0,0.0,1.6,0.1,0.7,1.2,,0.0,0.0,0.0,0.1,0.0,0.0,0.3,11.5,1.2,0.2,0.2,1.0,0.9,0.5,1.1,0.5,1.9,0.4,0.2,1.2,1.3,0.8,6.5,0.3,2.5,1.4,0.9,0.1,,2.3,7.2,0.0,0.4,0.1,0.1,0.5,0.4,1.1,0.7,1.4,1.6,0.5,0.2,2.1,0.2,0.1,0.5,0.2,0.2,0.0,0.8,0.0,0.0,,,
2009-02-01,EMPL_QUIT_EGREEM_NUM_TH,50.4,14.1,0.6,0.3,0.8,1.5,0.4,0.2,0.4,0.4,0.5,1.9,0.2,0.4,0.2,0.1,0.4,0.6,0.8,4.5,6.7,0.2,0.4,0.3,0.0,,1.0,0.7,0.7,0.2,0.3,0.8,2.2,4.1,0.0,0.0,1.1,0.1,0.8,1.5,,0.1,0.0,0.1,0.1,0.0,0.0,0.3,11.0,1.2,0.3,0.7,0.8,1.1,0.4,1.0,0.4,1.4,0.4,0.1,1.4,0.8,1.1,5.8,0.2,2.3,1.3,0.8,0.2,,2.0,7.6,0.0,0.2,0.0,0.1,0.5,0.3,1.4,0.8,1.8,1.6,0.4,0.3,1.2,0.2,0.1,0.2,0.2,0.2,0.1,0.3,0.0,0.0,,,
2009-03-01,EMPL_QUIT_EGREEM_NUM_TH,60.1,17.5,0.5,0.9,0.7,0.9,1.0,0.2,0.6,1.1,0.7,2.4,0.2,0.4,0.2,0.1,0.4,0.5,1.3,5.4,7.7,0.2,1.0,0.4,0.0,,0.9,0.7,0.6,0.3,0.5,0.2,2.8,6.0,0.0,0.0,1.2,0.3,1.2,2.7,,0.0,0.0,0.0,0.0,0.0,0.1,0.5,13.6,0.8,0.3,0.4,1.0,1.3,0.6,1.0,0.4,1.7,0.9,0.2,2.4,1.0,1.5,7.1,0.2,2.4,1.6,1.0,0.2,,2.8,6.6,0.0,0.1,0.3,0.1,0.5,0.2,1.2,1.0,1.4,1.1,0.5,0.2,1.6,0.3,0.1,0.4,0.2,0.2,0.1,0.4,0.0,0.0,,,
2009-04-01,EMPL_QUIT_EGREEM_NUM_TH,57.8,16.1,0.7,0.7,0.9,1.1,0.7,0.3,0.2,0.2,0.3,2.3,0.3,0.9,0.2,0.2,0.4,0.7,1.5,4.5,5.9,0.2,0.5,0.4,0.1,,0.5,0.4,0.6,0.2,0.3,0.3,2.4,6.8,0.0,0.0,2.1,0.2,1.0,2.1,,0.1,0.0,0.1,0.0,0.1,0.1,0.9,13.0,0.8,0.3,0.3,1.1,1.5,0.6,1.3,0.6,1.7,0.7,0.4,1.3,0.8,1.7,6.8,0.3,1.7,1.8,1.2,0.2,,3.0,7.7,0.0,0.2,0.1,0.2,0.9,0.5,1.2,1.0,1.5,1.2,0.5,0.3,1.6,0.2,0.1,0.5,0.3,0.2,0.2,0.2,0.0,0.0,,,
2009-05-01,EMPL_QUIT_EGREEM_NUM_TH,47.9,11.9,0.4,0.9,1.0,0.6,0.3,0.2,0.4,0.2,0.7,1.7,0.2,0.3,0.2,0.1,0.4,0.4,0.7,3.3,6.6,0.4,0.5,0.3,0.1,,0.6,0.7,0.8,0.2,0.3,0.5,2.3,3.6,0.0,0.1,1.0,0.1,0.6,1.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,11.8,0.9,0.4,0.1,1.6,1.6,0.3,1.0,0.6,1.7,0.5,0.4,1.2,0.7,0.8,6.5,0.5,2.1,1.6,0.9,0.2,,2.4,6.2,0.1,0.2,0.0,0.2,0.7,0.2,1.0,0.6,1.2,1.0,0.7,0.3,1.3,0.1,0.0,0.2,0.3,0.2,0.0,0.3,0.0,0.1,,,
2009-06-01,EMPL_QUIT_EGREEM_NUM_TH,48.3,11.4,0.4,0.4,1.3,0.6,0.3,0.2,0.2,0.3,0.3,1.9,0.1,0.3,0.3,0.1,0.3,0.4,0.7,3.4,4.9,0.3,0.4,0.5,0.0,,0.4,0.2,0.5,0.3,0.2,0.3,1.8,3.9,0.0,0.0,1.0,0.5,0.6,1.2,,0.1,,0.0,0.0,0.0,0.0,0.4,13.8,1.5,0.3,0.1,1.0,2.7,0.6,0.9,0.6,2.6,0.5,0.3,1.5,0.8,0.4,6.3,0.2,2.0,1.8,0.9,0.5,,2.3,6.2,0.0,0.2,0.1,0.1,0.5,0.6,1.2,0.5,1.2,1.0,0.6,0.3,1.7,0.3,0.1,0.3,0.5,0.2,0.1,0.2,0.0,0.1,,,
2009-07-01,EMPL_QUIT_EGREEM_NUM_TH,41.4,8.9,0.3,0.3,0.5,0.6,0.2,0.3,0.2,0.2,0.3,1.3,0.1,0.2,0.2,0.1,0.3,0.4,0.4,3.2,4.4,0.3,0.4,0.4,0.1,,0.4,0.1,0.4,0.2,0.2,0.1,1.8,3.9,0.0,0.0,1.0,0.1,0.6,1.7,,0.0,0.0,0.1,0.0,0.0,0.0,0.2,10.3,0.7,0.2,0.1,0.8,1.4,0.4,0.7,0.9,2.0,0.4,0.3,1.3,0.6,0.5,5.4,0.2,2.3,1.5,1.0,0.2,,1.4,6.9,0.0,0.2,0.1,0.1,0.4,0.8,1.3,0.5,1.4,1.4,0.6,0.2,1.7,0.3,0.0,0.3,0.5,0.3,0.0,0.3,0.0,0.0,,,
2009-08-01,EMPL_QUIT_EGREEM_NUM_TH,43.0,10.1,0.4,0.4,0.5,0.9,0.3,0.1,0.2,0.1,1.0,1.6,0.1,0.2,0.2,0.1,0.3,0.4,0.4,2.8,4.9,0.1,0.6,0.3,0.0,,1.0,0.2,0.4,0.1,0.3,0.2,1.6,3.9,0.0,0.0,1.1,0.1,1.0,1.1,,0.1,0.0,0.1,0.0,0.0,0.1,0.2,9.9,0.8,0.3,0.1,1.0,1.1,0.6,0.9,0.6,1.4,0.6,0.2,1.3,0.6,0.4,6.5,0.5,2.4,2.3,1.4,0.2,,1.3,6.1,0.0,0.2,0.1,0.1,0.5,0.4,1.1,0.6,1.5,0.8,0.5,0.2,1.6,0.4,0.0,0.3,0.4,0.2,0.0,0.2,0.0,0.0,,,
2009-09-01,EMPL_QUIT_EGREEM_NUM_TH,42.8,11.0,1.1,0.2,0.4,0.5,0.8,0.1,0.2,0.3,0.5,1.6,0.1,0.3,0.3,0.1,0.4,0.9,0.7,2.7,5.0,0.3,0.5,0.4,0.0,,0.3,0.5,0.4,0.2,0.2,0.2,2.1,4.1,0.0,0.0,1.3,0.1,0.5,1.1,,0.3,,0.2,0.0,0.0,,0.5,9.2,0.9,0.2,0.2,0.8,1.0,0.4,0.8,0.4,1.2,0.4,0.3,1.7,0.5,0.5,4.8,0.3,2.0,1.7,1.1,0.3,,0.9,5.9,0.0,0.2,0.2,0.1,0.5,0.6,1.0,0.6,1.4,0.6,0.5,0.2,2.7,0.6,0.1,0.5,0.4,0.3,0.1,0.5,0.1,0.1,,,
2009-10-01,EMPL_QUIT_EGREEM_NUM_TH,39.8,9.3,0.4,0.2,0.4,0.6,0.1,0.1,0.2,0.4,0.4,1.7,0.1,0.2,0.3,0.1,0.4,0.5,0.5,2.8,4.6,0.2,0.5,0.3,0.0,,0.4,0.2,0.4,0.2,0.2,0.1,2.0,3.8,0.0,0.0,1.1,0.1,0.5,1.3,,0.0,0.0,0.0,0.0,0.0,0.3,0.4,9.4,0.7,0.2,0.2,0.6,1.3,0.3,0.8,0.3,1.9,0.5,0.2,1.3,0.6,0.6,4.7,0.2,2.0,1.5,0.9,0.2,,1.0,5.3,0.0,0.2,0.1,0.1,0.4,0.4,1.0,0.4,1.1,0.7,0.6,0.2,2.7,0.6,0.0,0.4,0.6,0.2,0.3,0.4,0.0,0.1,,,
